complete_address,address,label,building,house_details,locality,pincode,city,state
"43 Bera Zila, Near Park, Guwahati, Assam - 008147","43 Bera Zila, Near Park, Guwahati, Assam - 008147",0,,43,Guwahati,700147,Assam,
"09/693 Munshi, Behind School, Shimla, Himachal Pradesh - 121118","09/693 Munshi, Behind School, Shimla, Himachal Pradesh - 121118",0,,09/693,Munshi,121118,Shimla,Himachal Pradesh
"H.No. 952 Comar Nagar, Above Shop, Vizag, Andhra Pradesh - 600112","H.No. 952 Nagar, Above Vizag, -",1,,,Nagar,500072,Vizag,
"32/360, Radhakrishnan Marg, Behind School, Ahmedabad, Gujarat - 693975","32/360, Radhakrishnan Marg, Behind School, Ahmedabad, Gujarat - 693975",0,,32/360,,380015,Ahmedabad,Gujarat
"95, Loyal Zila, Opposite Mall, Pune, Maharashtra - 006228","95, Zila, Opposite - 006228",1,,95,Zila,201306,,
"838 Muni, Above Shop, Ranchi, Jharkhand - 326916","838 Muni, Above Shop, Ranchi, Jharkhand - 326916",0,,838 Muni,Ranchi,326116,Jharkhand,
"H.No. 41, Cherian Road, Behind School, Chandigarh, Chandigarh - 616681","H.No. 41, Cherian Road, Behind School, Chandigarh, Chandigarh - 616681",0,,H.No. 41,Chandigarh,660168,Chandigarh,
"H.No. 88 Gour Chowk, Opposite Mall, Coimbatore, Tamil Nadu - 549906","H.No. 88 Gour Chowk, Opposite Mall, Coimbatore, Tamil Nadu - 549906",0,,H.No. 88,Coimbatore,594090,Tamil Nadu,
"29/21 Ram Street, Opposite Mall, Ludhiana, Punjab - 526118","29/21 Ram Street, Opposite Mall, Ludhiana, Punjab - 526118",0,,29/21,Ludhiana,522611,Punjab,
"H.No. 938, D’Alia Street, Near Park, Hyderabad, Telangana - 898902","938, D’Alia Park, Hyderabad, -",1,D'Alia Park,938,,500008,Hyderabad,
"539, Master Ganj, Above Shop, Bhopal, Madhya Pradesh - 761606","539, Master Ganj, Above Shop, Bhopal, Madhya Pradesh - 761606",0,,539,Master Ganj,761606,Bhopal,Madhya Pradesh
"26/159, Nigam Chowk, Opposite Mall, Nagpur, Maharashtra - 102735","26/159, Nigam Chowk, Opposite Mall, Nagpur, Maharashtra - 102735",0,,26/159,Nagpur,410307,Maharashtra,
"998, De Ganj, Near Park, Thiruvananthapuram, Kerala - 718108","998, Ganj, Near Kerala -",1,,998,Ganj,560004,,KARNATAKA
"13 Sunder Circle, Behind School, Thiruvananthapuram, Kerala - 442259","13 Sunder Circle, Behind School, Thiruvananthapuram, Kerala - 442259",0,,13,Thiruvananthapuram,442259,Kerala,
"54/25 Iyengar Zila, Opposite Mall, Guwahati, Assam - 031505","54/25 Iyengar Zila, Opposite Mall, Guwahati, Assam - 031505",0,,54/25,Iyengar Zila,700105,Guwahati,Assam
"576, Prashad Path, Near Park, Raipur, Chhattisgarh - 169709","576, Prashad Path, Near Park, Raipur, Chhattisgarh - 169709",0,,576,Raipur,169709,Chhattisgarh,
"91/484, Prabhu Road, Near Park, Raipur, Chhattisgarh - 807185","91/484, Prabhu Road, Near Park, Raipur, Chhattisgarh - 807185",0,,91/484,Raipur,807185,Chhattisgarh,
"509 Mittal, Opposite Mall, Vijayawada, Andhra Pradesh - 654349","509 Mittal, Opposite Mall, Vijayawada, Andhra Pradesh - 654349",0,,509,Vijayawada,654349,Andhra Pradesh,
"31/955 Bera Path, Opposite Mall, Surat, Gujarat - 821333","31/955 Bera Path, Opposite Mall, Surat, Gujarat - 821333",0,,31/955,,395003,Surat,Gujarat
"H.No. 32 Saxena Ganj, Near Park, Vijayawada, Andhra Pradesh - 537881","H.No. 32 Saxena Ganj, Near Park, Vijayawada, Andhra Pradesh - 537881",0,,H.No. 32,Vijayawada,537181,Andhra Pradesh,
"H.No. 504 Golla Nagar, Above Shop, Ranchi, Jharkhand - 019019","H.No. 504 Golla Nagar, Above Shop, Ranchi, Jharkhand - 019019",0,,H.No. 504,Golla Nagar,019019,Ranchi,Jharkhand
"939, Bala Zila, Behind School, Hyderabad, Telangana - 378428","939, Bala Zila, Behind School, Hyderabad, Telangana - 378428",0,,939,Bala Zilla,378428,Hyderabad,Telangana
"00/432, Khatri Nagar, Opposite Mall, Chennai, Tamil Nadu - 602076","00/432, Khatri Nagar, Opposite Mall, Chennai, Tamil Nadu - 602076",0,,00/432,Khatri Nagar,602076,Chennai,Tamil Nadu
"H.No. 86, Sridhar Street, Behind School, Kolkata, West Bengal - 376116","H.No. 86, Sridhar Street, Behind School, Kolkata, West Bengal - 376116",0,,H.No. 86,Kolkata,700116,Kolkata,West Bengal
"84/54 Kibe Marg, Behind School, Vizag, Andhra Pradesh - 285341","84/54 Kibe Marg, Behind School, Vizag, Andhra Pradesh - 285341",0,,84/54,Vizag,562341,Andhra Pradesh,
"46/37 Gill, Behind School, Coimbatore, Tamil Nadu - 746976","46/37 School, Coimbatore, - 746976",1,,46/37,,746976,Coimbatore,
"50/177, Lad Zila, Behind School, Lucknow, Uttar Pradesh - 038944","50/177, Lad Zila, Behind School, Lucknow, Uttar Pradesh - 038944",0,,50/177,Lad Zila,203944,Lucknow,Uttar Pradesh
"69, Gopal, Near Park, Vijayawada, Andhra Pradesh - 077226","69, Gopal, Near Park, Vijayawada, Andhra Pradesh - 077226",0,,69,Vijayawada,500043,Andhra Pradesh,
"46/30, Gera, Behind School, Bhubaneswar, Odisha - 649409","46/30, Gera, Behind School, Bhubaneswar, Odisha - 649409",0,Gera,46/30,Bhubaneswar,649409,Odisha,
"H.No. 847 Lad Nagar, Above Shop, Kochi, Kerala - 091916","H.No. 847 Lad Nagar, Above Shop, Kochi, Kerala - 091916",0,,H.No. 847,Lad Nagar,691116,Kochi,Kerala
"18/464 Cheema Marg, Behind School, Delhi, Delhi - 871090","18/464 Cheema Marg, Behind School, Delhi, Delhi - 871090",0,,18/464,,110090,Delhi,Delhi
"H.No. 570 Dugal Zila, Opposite Mall, Ahmedabad, Gujarat - 543661","570 Dugal Opposite Ahmedabad, 543661",1,,570,,380001,,
"H.No. 064 Bansal Street, Opposite Mall, Meerut, Uttar Pradesh - 101401","H.No. 064 Bansal Street, Opposite Mall, Meerut, Uttar Pradesh - 101401",0,,H.No. 64,Meerut,201401,Uttar Pradesh,
"08/25, Vasa Marg, Above Shop, Amritsar, Punjab - 316127","08/25, Vasa Marg, Above Shop, Amritsar, Punjab - 316127",0,,08/25,Amritsar,122161,Punjab,
"230, Shroff Ganj, Opposite Mall, Guwahati, Assam - 553265","230, Shroff Ganj, Opposite Mall, Guwahati, Assam - 553265",0,,230,Guwahati,553265,Assam,
"81/56, Nigam Path, Above Shop, Coimbatore, Tamil Nadu - 768003","81/56, Nigam Path, Above Shop, Coimbatore, Tamil Nadu - 768003",0,,81/56,Coimbatore,768003,Tamil Nadu,
"19/372, Agate Street, Behind School, Surat, Gujarat - 177687","19/372, Agate Street, Behind School, Surat, Gujarat - 177687",0,,19/372,,395007,Surat,Gujarat
"H.No. 101, Naidu Street, Above Shop, Nashik, Maharashtra - 713449","H.No. 101, Street, Above 713449",1,,H.No. 101,,110036,Above 713449,
"35 Sem Street, Near Park, Raipur, Chhattisgarh - 142000","35 Sem Street, Near Park, Raipur, Chhattisgarh - 142000",0,,35,Raipur,142000,Chhattisgarh,
"91/32, Ben Marg, Above Shop, Kolkata, West Bengal - 787200","91/32, Ben Marg, Above Shop, Kolkata, West Bengal - 787200",0,,91/32,,700020,Kolkata,West Bengal
"H.No. 271 Borah Chowk, Near Park, Hyderabad, Telangana - 945984","271 Borah Chowk, Hyderabad, -",1,,271,,-500008,Hyderabad,
"79/061, Pant, Near Park, Bangalore, Karnataka - 936619","79/061, Pant, Near Park, Bangalore, Karnataka - 936619",0,,79/61,,560061,Bangalore,Karnataka
"H.No. 80, Ranganathan Path, Above Shop, Shimla, Himachal Pradesh - 587387","H.No. 80, Ranganathan Path, Above Shop, Shimla, Himachal Pradesh - 587387",0,,H.No. 80,Shimla,587387,Himachal Pradesh,
"H.No. 61 Kulkarni Ganj, Opposite Mall, Nagpur, Maharashtra - 940570","H.No. 61 Kulkarni Ganj, Opposite Mall, Nagpur, Maharashtra - 940570",0,,H.No. 61,Nagpur,940570,Maharashtra,
"71/32 Aggarwal Circle, Above Shop, Nagpur, Maharashtra - 184558","71/32 Aggarwal Circle, Above Shop, Nagpur, Maharashtra - 184558",0,,71/32,Nagpur,411003,Maharashtra,
"48/27 Purohit Path, Behind School, Mumbai, Maharashtra - 491908","48/27 Purohit Path, Behind School, Mumbai, Maharashtra - 491908",0,,48/27,,491908,Mumbai,Maharashtra
"93/43, Mall Circle, Above Shop, Varanasi, Uttar Pradesh - 501786","93/43, Mall Circle, Above Shop, Varanasi, Uttar Pradesh - 501786",0,,93/43,Varanasi,201306,Uttar Pradesh,
"H.No. 208, Mammen Zila, Near Park, Raipur, Chhattisgarh - 721528","H.No. 208, Mammen Zila, Near Park, Raipur, Chhattisgarh - 721528",0,,H.No. 208,Mammen Zila,721528,Raipur,Chhattisgarh
"H.No. 652, Palan Circle, Opposite Mall, Bhubaneswar, Odisha - 891556","H.No. 652, Palan Circle, Opposite Mall, Bhubaneswar, Odisha - 891556",0,,H.No. 652,Bhubaneswar,700055,Odisha,
"24, Goyal Chowk, Behind School, Vijayawada, Andhra Pradesh - 830387","24, Goyal Chowk, Vijayawada, Andhra",1,,24,Vijayawada,500043,,Andhra
"H.No. 93, Ramanathan Zila, Behind School, Hyderabad, Telangana - 563948","H.No. 93, Ramanathan Zila, Behind School, Hyderabad, Telangana - 563948",0,,H.No. 93,Ramanathan Zilla,563948,Hyderabad,Telangana
"60, Grewal, Near Park, Jamshedpur, Jharkhand - 656877","60, Grewal, Near Park, Jamshedpur, Jharkhand - 656877",0,,60,Jamshedpur,201000,Jharkhand,
"47/899, Anne Marg, Above Shop, Mumbai, Maharashtra - 336158","Marg, Above Mumbai, Maharashtra 336158",1,,,Marg,421608,Above Mumbai,Maharashtra
"H.No. 268, Gara Path, Behind School, Ahmedabad, Gujarat - 019204","H.No. 268, Gara Path, Behind School, Ahmedabad, Gujarat - 019204",0,,H.No. 268,,382204,Ahmedabad,Gujarat
"01/70, Apte Street, Near Park, Ahmedabad, Gujarat - 643250","Apte Near Park, Gujarat -",1,,,Apte,380001,Gujarat,
"H.No. 916, Choudhry, Behind School, Vizag, Andhra Pradesh - 443866","H.No. 916, Choudhry, Behind School, Vizag, Andhra Pradesh - 443866",0,,H.No. 916,Choudhry,443866,Vizag,Andhra Pradesh
"H.No. 642 Dash Circle, Near Park, Chandigarh, Chandigarh - 973639","H.No. 642 Dash Circle, Near Park, Chandigarh, Chandigarh - 973639",0,,H.No. 642,Chandigarh,70063,Chandigarh,
"H.No. 087, Subramaniam Chowk, Near Park, Jamshedpur, Jharkhand - 789276","H.No. 087, Subramaniam Chowk, Near Park, Jamshedpur, Jharkhand - 789276",0,,H.No. 087,Jamshedpur,789276,Jharkhand,
"95/369 Buch Ganj, Above Shop, Kochi, Kerala - 149445","95/369 Buch Ganj, Above Shop, Kochi, Kerala - 149445",0,,95/369,Kochi,594445,Kochi,Kerala
"H.No. 100, Lata Chowk, Opposite Mall, Nagpur, Maharashtra - 323861","H.No. 100, Lata Chowk, Opposite Mall, Nagpur, Maharashtra - 323861",0,,H.No. 100,Nagpur,431861,Maharashtra,
"425, Bains Chowk, Above Shop, Bhubaneswar, Odisha - 619655","425, Bains Chowk, Above Shop, Bhubaneswar, Odisha - 619655",0,,425,Bhubaneswar,619655,Odisha,
"42 Chowdhury Marg, Above Shop, Srinagar, Jammu & Kashmir - 933011","42 Chowdhury Marg, Above Shop, Srinagar, Jammu & Kashmir - 933011",0,,42,Srinagar,933011,Jammu & Kashmir,
"H.No. 550, Narain Nagar, Behind School, Raipur, Chhattisgarh - 151354","H.No. 550, Narain Nagar, Behind School, Raipur, Chhattisgarh - 151354",0,,H.No. 550,Narain Nagar,121354,Raipur,Chhattisgarh
"919, Loyal, Opposite Mall, Indore, Madhya Pradesh - 542449","919, Loyal, Opposite Mall, Indore, Madhya Pradesh - 542449",0,Loyal,919,Indore,542449,Madhya Pradesh,
"87/71 Bhalla Circle, Near Park, Patna, Bihar - 422651","87/71 Bhalla Circle, Near Park, Patna, Bihar - 422651",0,,87/71,Patna,422651,Bihar,
"67/58, Baral Marg, Behind School, Nagpur, Maharashtra - 611975","Baral Marg, Behind Maharashtra 611975",1,,,Behind Maharashtra,411005,,
"619 Bava Zila, Opposite Mall, Surat, Gujarat - 328898","619 Bava Zila, Opposite Mall, Surat, Gujarat - 328898",0,,619 Bava Zila,,395288,Surat,Gujarat
"22/50, Ratta Path, Above Shop, Nagpur, Maharashtra - 942796","22/50, Ratta Path, Nagpur, 942796",1,,22/50,Nagpur,942796,,
"44/07 Shanker Nagar, Opposite Mall, Shimla, Himachal Pradesh - 834488","44/07 Shanker Nagar, Opposite Mall, Shimla, Himachal Pradesh - 834488",0,,44/07,Shimla,834148,Himachal Pradesh,
"41/896 Shetty Ganj, Above Shop, Kolkata, West Bengal - 057341","41/896 Shetty Ganj, Above Shop, Kolkata, West Bengal - 057341",0,,41/896,Shetty Ganj,700001,Kolkata,West Bengal
"66/19 Prabhu Marg, Opposite Mall, Nagpur, Maharashtra - 454387","66/19 Prabhu Marg, Opposite Mall, Nagpur, Maharashtra - 454387",0,,66/19,Nagpur,454387,Maharashtra,
"20/67 Sachdeva Path, Behind School, Meerut, Uttar Pradesh - 649333","Sachdeva Behind Meerut, Pradesh 649333",1,,,Sachdeva Behind Meerut,245303,,UP
"16/317, Jha Circle, Behind School, Aurangabad, Maharashtra - 589708","16/317, Jha Circle, Behind School, Aurangabad, Maharashtra - 589708",0,,16/317,Aurangabad,589708,,Maharashtra
"H.No. 11 Chand, Opposite Mall, Lucknow, Uttar Pradesh - 768872","H.No. 11 Chand, Opposite Mall, Lucknow, Uttar Pradesh - 768872",0,,H.No. 11 Chand,Opposite Mall,201872,Lucknow,Uttar Pradesh
"90 Chowdhury, Near Park, Surat, Gujarat - 497495","90 Chowdhury, Near Park, Surat, Gujarat - 497495",0,,90,,394519,Surat,Gujarat
"H.No. 50, Yohannan Chowk, Behind School, Patna, Bihar - 862220","H.No. 50, Yohannan Chowk, Behind School, Patna, Bihar - 862220",0,,H.No. 50,Patna,862220,,Bihar
"01 Bahl, Near Park, Nagpur, Maharashtra - 490307","01 Bahl, Near Park, Nagpur, Maharashtra - 490307",0,,01 Bahl,Nagpur,490307,Maharashtra,
"51/958, Sidhu Ganj, Above Shop, Chennai, Tamil Nadu - 121057","51/958, Sidhu Ganj, Above Shop, Chennai, Tamil Nadu - 121057",0,,51/958,Sidhu Ganj,600021,Chennai,Tamil Nadu
"33/00 Bath Street, Above Shop, Surat, Gujarat - 093950","33/00 Bath Above Shop, Gujarat",1,,33/00,,380001,Gujarat,
"23/61 Kalla Road, Behind School, Bhubaneswar, Odisha - 385145","23/61 Kalla Road, Behind School, Bhubaneswar, Odisha - 385145",0,,23/61,Bhubaneswar,385145,Odisha,
"H.No. 847, Dhar Zila, Near Park, Aurangabad, Maharashtra - 278690","847, Dhar Zila, Near Park,",1,,847,Dhar Zila,110081,Delhi,
"H.No. 932, Divan, Near Park, Raipur, Chhattisgarh - 585748","932, Near Raipur, Chhattisgarh -",1,,932,Chhattisgarh,110001,,
"H.No. 940, Palla Nagar, Opposite Mall, Coimbatore, Tamil Nadu - 271424","H.No. 940, Palla Nagar, Opposite Mall, Coimbatore, Tamil Nadu - 271424",0,,H.No. 940,Palla Nagar,600124,Coimbatore,Tamil Nadu
"H.No. 34 Kant Road, Opposite Mall, Srinagar, Jammu & Kashmir - 638266","H.No. 34 Kant Road, Opposite Mall, Srinagar, Jammu & Kashmir - 638266",0,,H.No. 34,Srinagar,638266,Jammu & Kashmir,
"H.No. 39, Sabharwal Nagar, Near Park, Shimla, Himachal Pradesh - 740295","H.No. 39, Sabharwal Nagar, Near Park, Shimla, Himachal Pradesh - 740295",0,,H.No. 39,Sabharwal Nagar,740295,Shimla,Himachal Pradesh
"H.No. 236 Chandran Circle, Above Shop, Ludhiana, Punjab - 117779","H.No. 236 Chandran Circle, Above Shop, Ludhiana, Punjab - 117779",0,,H.No. 236,Ludhiana,411779,Punjab,
"H.No. 673, Luthra, Near Park, Raipur, Chhattisgarh - 024094","H.No. 673, Luthra, Near Park, Raipur, Chhattisgarh - 024094",0,,H.No. 673,Luthra,024094,Raipur,Chhattisgarh
"55 Apte Chowk, Behind School, Mumbai, Maharashtra - 616261","55 Apte Chowk, Behind School, Mumbai, Maharashtra - 616261",0,,55,,421601,Mumbai,Maharashtra
"884, Sahni Ganj, Above Shop, Ranchi, Jharkhand - 150773","884, Sahni Ganj, Above Shop, Ranchi, Jharkhand - 150773",0,,884,Sahni Ganj,201073,Ranchi,Jharkhand
"69, Solanki Nagar, Behind School, Patna, Bihar - 069043",Solanki Behind Bihar - 069043,1,,,Solanki,209903,Bihar,
"49 Gupta, Above Shop, Meerut, Uttar Pradesh - 436378","49 Gupta, Above Shop, Meerut, Uttar Pradesh - 436378",0,,49,Gupta,201378,Meerut,Uttar Pradesh
"57, Kaur Road, Near Park, Vizag, Andhra Pradesh - 389206","57, Kaur Road, Near Park, Vizag, Andhra Pradesh - 389206",0,,57,Vizag,389206,Andhra Pradesh,
"H.No. 035 Chadha Circle, Behind School, Pune, Maharashtra - 148192","H.No. 035 Behind School, 148192",1,,H.No. 035,School,148192,,
"03/11 Aggarwal Zila, Above Shop, Ranchi, Jharkhand - 026399","03/11 Aggarwal Zila, Above Shop, Ranchi, Jharkhand - 026399",0,,03/11,Aggarwal Zila,026399,Ranchi,Jharkhand
"250 Verma Circle, Near Park, Hyderabad, Telangana - 810176","250 Verma Circle, Near Park, Hyderabad, Telangana - 810176",0,250 Verma Circle,,,500016,Hyderabad,Telangana
"15/97, Magar, Opposite Mall, Indore, Madhya Pradesh - 535025","15/97, Magar, Opposite Mall, Indore, Madhya Pradesh - 535025",0,,15/97,Magar,535025,Indore,Madhya Pradesh
"84/977, Bhavsar Chowk, Above Shop, Ahmedabad, Gujarat - 354815","84/977, Bhavsar Chowk, Above Shop, Ahmedabad, Gujarat - 354815",0,,84/977,,382415,Ahmedabad,Gujarat
"H.No. 188, Mannan Street, Above Shop, Kochi, Kerala - 366059","H.No. 188, Mannan Street, Above Shop, Kochi, Kerala - 366059",0,,H.No. 188,Kochi,600059,Kochi,Kerala
"75/70 Pradhan Circle, Above Shop, Ludhiana, Punjab - 686433","75/70 Pradhan Circle, Above Shop, Ludhiana, Punjab - 686433",0,,75/70,Ludhiana,686433,Punjab,
"H.No. 86 Kala Chowk, Above Shop, Raipur, Chhattisgarh - 313553","H.No. 86 Kala Chowk, Above Shop, Raipur, Chhattisgarh - 313553",0,,H.No. 86,Raipur,313553,Chhattisgarh,
"99/924 Dutta Ganj, Above Shop, Bangalore, Karnataka - 393706","99/924 Dutta Ganj, Above Shop, Bangalore, Karnataka - 393706",0,,99/924,Dutta Ganj,560026,Bangalore,Karnataka
"40/92, Bakshi Road, Near Park, Surat, Gujarat - 067883","40/92, Bakshi Road, Near Park, Surat, Gujarat - 067883",0,,40/92,,395003,Surat,Gujarat
"683 Das Zila, Opposite Mall, Bangalore, Karnataka - 619484","683 Das Zila, Opposite Mall, Bangalore, Karnataka - 619484",0,,683,Das Zila,560024,Bangalore,Karnataka
"87/050 Arora Zila, Near Park, Dehradun, Uttarakhand - 593935","87/050 Arora Zila, Near Park, Dehradun, Uttarakhand - 593935",0,,87/50,Arora Zila,394335,Dehradun,Uttarakhand
"85 Peri Circle, Opposite Mall, Srinagar, Jammu & Kashmir - 877859","Circle, Mall, Srinagar, Jammu Kashmir -",1,,,Srinagar,700151,Jammu Kashmir,
"44/166 Chandran, Near Park, Jamshedpur, Jharkhand - 686445","44/166 Near Jamshedpur, Jharkhand",1,,44/166,Jamshedpur,700135,,Jharkhand
"44/597 Gara Chowk, Behind School, Vizag, Andhra Pradesh - 805324","44/597 Gara Chowk, Behind School, Vizag, Andhra Pradesh - 805324",0,,44/597,Vizag,500324,Andhra Pradesh,
"34, Goyal, Opposite Mall, Coimbatore, Tamil Nadu - 054075","34, Goyal, Opposite Mall, Coimbatore, Tamil Nadu - 054075",0,,34,Coimbatore,054075,Tamil Nadu,
"H.No. 322, Kaul, Near Park, Ludhiana, Punjab - 201130","H.No. 322, Kaul, Near Park, Ludhiana, Punjab - 201130",0,,H.No. 322,Ludhiana,201130,Punjab,
"H.No. 595 Bava Marg, Behind School, Jamshedpur, Jharkhand - 300537","H.No. 595 Bava Marg, Behind School, Jamshedpur, Jharkhand - 300537",0,,H.No. 595,Jamshedpur,700537,Jharkhand,
"H.No. 29, Khosla Marg, Near Park, Meerut, Uttar Pradesh - 709178","H.No. 29, Khosla Marg, Near Park, Meerut, Uttar Pradesh - 709178",0,,H.No. 29,Meerut,201308,Uttar Pradesh,
"H.No. 20, Agarwal Path, Opposite Mall, Shimla, Himachal Pradesh - 778758","H.No. 20, Agarwal Path, Opposite Mall, Shimla, Himachal Pradesh - 778758",0,,H.No. 20,Shimla,122001,Himachal Pradesh,
"17/51 Barman Chowk, Opposite Mall, Amritsar, Punjab - 300569","17/51 Barman Chowk, Opposite Mall, Amritsar, Punjab - 300569",0,,17/51,Amritsar,300569,Punjab,
"H.No. 243 Dugar Zila, Near Park, Thiruvananthapuram, Kerala - 777336","H.No. 243 Dugar Zila, Near Park, Thiruvananthapuram, Kerala - 777336",0,,H.No. 243,Dugar Zilla,600077,Thiruvananthapuram,Kerala
"43, Chaudhuri, Above Shop, Kolkata, West Bengal - 820816","43, Chaudhuri, Above Shop, Kolkata, West Bengal - 820816",0,,43,Chaudhuri,700016,Kolkata,West Bengal
"85/903, Gara Ganj, Opposite Mall, Nashik, Maharashtra - 992136","85/903, Gara Ganj, Opposite Mall, Nashik, Maharashtra - 992136",0,,85/903,Nashik,421306,,Maharashtra
"83/228, Dua Path, Near Park, Jamshedpur, Jharkhand - 590187","83/228, Dua Path, Near Park, Jamshedpur, Jharkhand - 590187",0,,83/228,Jamshedpur,700137,Jharkhand,
"711, Banerjee Marg, Near Park, Patna, Bihar - 076172","711, Banerjee Marg, Near Park, Patna, Bihar - 076172",0,,711,Patna,760172,Bihar,
"923, Vaidya Circle, Opposite Mall, Bhopal, Madhya Pradesh - 053898","Vaidya Circle, Mall, - 053898",1,Vaidya Circle,,,400098,,
"981, Nazareth Nagar, Near Park, Surat, Gujarat - 807310","981, Nazareth Nagar, Near Park, Surat, Gujarat - 807310",0,,981,Nazareth Nagar,395007,Surat,Gujarat
"H.No. 06 Goswami Marg, Behind School, Indore, Madhya Pradesh - 129712","H.No. 06 Goswami Marg, Behind School, Indore, Madhya Pradesh - 129712",0,,H.No. 06,Indore,129712,Madhya Pradesh,
"H.No. 66 Palla Nagar, Behind School, Bangalore, Karnataka - 172951","H.No. 66 Palla Nagar, Behind School, Bangalore, Karnataka - 172951",0,,H.No. 66,Palla Nagar,562151,Bangalore,Karnataka
"53 Grover Street, Above Shop, Dehradun, Uttarakhand - 142135","53 Grover Street, Above Shop, Dehradun, Uttarakhand - 142135",0,,53,Dehradun,142135,Uttarakhand,
"70, Saxena, Above Shop, Indore, Madhya Pradesh - 726179","70, Saxena, Above Shop, Indore, Madhya Pradesh - 726179",0,,70,Indore,726179,Madhya Pradesh,
"905, Bhatia, Near Park, Jamshedpur, Jharkhand - 281553","905, Bhatia, Near Park, Jamshedpur, Jharkhand - 281553",0,,905,Bhatia,281553,Jamshedpur,Jharkhand
"68/15 Narang Path, Behind School, Indore, Madhya Pradesh - 638344","68/15 Narang Path, Behind School, Indore, Madhya Pradesh - 638344",0,,68/15,Indore,638344,Madhya Pradesh,
"H.No. 74 Pal Road, Above Shop, Hyderabad, Telangana - 519888","H.No. 74 Pal Road, Above Shop, Hyderabad, Telangana - 519888",0,,H.No. 74,,500088,Hyderabad,Telangana
"03/165, Kumer Circle, Behind School, Delhi, Delhi - 746978","03/165, Kumer Circle, Behind School, Delhi, Delhi - 746978",0,,03/165,,110078,Delhi,Delhi
"24 Lata Road, Near Park, Jaipur, Rajasthan - 817269","24 Lata Road, Near Park, Jaipur, Rajasthan - 817269",0,,,Jaipur,817269,Rajasthan,
"03/27, Dugar Path, Above Shop, Chennai, Tamil Nadu - 437192","03/27, Dugar Path, Above Shop, Chennai, Tamil Nadu - 437192",0,,03/27,,603192,Chennai,Tamil Nadu
"91/028, Mangal Path, Above Shop, Mumbai, Maharashtra - 977654","91/028, Mangal Path, Above Shop, Mumbai, Maharashtra - 977654",0,,91/028,,400007,Mumbai,Maharashtra
"48/01, Padmanabhan Zila, Opposite Mall, Nagpur, Maharashtra - 169518","48/01, Padmanabhan Zila, Opposite Mall, Nagpur, Maharashtra - 169518",0,,48/01,Padmanabhan Zila,411518,Nagpur,Maharashtra
"95/780 Date Circle, Behind School, Varanasi, Uttar Pradesh - 686858","95/780 Circle, School, Varanasi, Uttar",1,,95/780,Varanasi,221002,Uttar Pradesh,
"H.No. 220 Sidhu Road, Near Park, Lucknow, Uttar Pradesh - 691120","H.No. 220 Sidhu Road, Near Park, Lucknow, Uttar Pradesh - 691120",0,,H.No. 220,Lucknow,201012,Uttar Pradesh,
